task_id,metric,agent_id,best_baseline_agent_id,paired_count,nonzero_difference_count,agent_higher_count,baseline_higher_count,tie_count,agent_mean,best_baseline_mean,mean_difference,difference_std,difference_se,ci95_low,ci95_high,sign_test_p_value,direction
front_end_spread_widening_v0,score.overall_score,treasury_front_end_research_sweep_env_agent,logistic_regression_baseline,3,0,0,0,3,0.542971,0.542971,0.0,0.0,0.0,0.0,0.0,,tie
front_end_spread_widening_v0,score.balanced_accuracy,treasury_front_end_research_sweep_env_agent,logistic_regression_baseline,3,0,0,0,3,0.542971,0.542971,0.0,0.0,0.0,0.0,0.0,,tie
front_end_spread_widening_v0,score.roc_auc,treasury_front_end_research_sweep_env_agent,previous_day_direction_baseline,3,3,0,3,0,0.5363,0.540203,-0.00390299999999999,0.0,0.0,-0.00390299999999999,-0.00390299999999999,0.25,baseline_higher
synthetic_event_response_v0,score.overall_score,event_rule_env_agent,event_rule_baseline,3,0,0,0,3,0.6372386666666666,0.6372386666666666,0.0,0.0,0.0,0.0,0.0,,tie
synthetic_event_response_v0,score.balanced_accuracy,event_rule_env_agent,event_rule_baseline,3,0,0,0,3,0.6372386666666666,0.6372386666666666,0.0,0.0,0.0,0.0,0.0,,tie
synthetic_event_response_v0,score.roc_auc,event_rule_env_agent,event_rule_baseline,3,0,0,0,3,0.6905933333333334,0.6905933333333334,0.0,0.0,0.0,0.0,0.0,,tie
synthetic_market_direction_v0,score.overall_score,market_research_sweep_env_agent,momentum_baseline,3,3,0,3,0,0.511405,0.521015,-0.009610000000000007,0.0020413982952868707,0.001178601855307118,-0.014681523783386535,-0.004538476216613479,0.25,baseline_higher
synthetic_market_direction_v0,score.balanced_accuracy,market_research_sweep_env_agent,momentum_baseline,3,3,0,3,0,0.511405,0.521015,-0.009610000000000007,0.0020413982952868707,0.001178601855307118,-0.014681523783386535,-0.004538476216613479,0.25,baseline_higher
synthetic_market_direction_v0,score.roc_auc,market_research_sweep_env_agent,logistic_regression_baseline,3,2,0,2,1,0.518167,0.5278343333333333,-0.009667333333333325,0.008640094058129991,0.004988360630285037,-0.03113224912544984,0.011797582458783188,0.5,baseline_higher
usd_afe_vs_eme_relative_direction_v0,score.overall_score,usd_research_sweep_env_agent,extra_trees_baseline,3,3,0,3,0,0.5068303333333334,0.5289706666666667,-0.022140333333333335,0.009293072114932388,0.0053653576871548194,-0.04522746746116052,0.0009468007944938538,0.25,baseline_higher
